date,xejVolatility,cloudCover
2020-04-29,372.2001953125,85
2020-04-30,571.7001953125,63
2020-05-01,471.0,70
2020-05-04,304.5,35
2020-05-05,303.60009765625,24
2020-05-06,198.60009765625,74
2020-05-07,147.30029296875,61
2020-05-08,196.69970703125,59
2020-05-11,203.0,66
2020-05-12,222.39990234375,71
2020-05-13,241.7001953125,39
2020-05-14,208.60009765625,42
2020-05-15,227.39990234375,22
2020-05-18,0.0,84
2020-05-19,410.7001953125,60
2020-05-20,166.30029296875,65
2020-05-21,204.19970703125,56
2020-05-22,262.5,94
2020-05-25,214.0,57
2020-05-26,261.2001953125,48
2020-05-27,243.60009765625,65
2020-05-28,167.80029296875,50
2020-05-29,130.7998046875,0
2020-06-01,253.0,59
2020-06-02,100.5,80
2020-06-03,239.19970703125,45
2020-06-04,294.7998046875,33
2020-06-05,149.5,0
2020-06-09,435.7001953125,77
2020-06-10,243.599609375,13
2020-06-11,450.1005859375,88
2020-06-12,499.39990234375,80
2020-06-15,337.60009765625,58
2020-06-16,427.7001953125,59
2020-06-17,160.10009765625,47
2020-06-18,222.10009765625,26
2020-06-19,141.7998046875,44
2020-06-22,184.10009765625,49
2020-06-23,240.19970703125,77
2020-06-24,164.599609375,60
2020-06-25,336.60009765625,25
2020-06-26,144.30029296875,44
2020-06-29,287.39990234375,1
2020-06-30,400.7998046875,38
2020-07-01,98.89990234375,29
2020-07-02,135.0,43
2020-07-03,246.39990234375,61
2020-07-06,94.0,71
2020-07-07,178.60009765625,51
2020-07-08,144.7001953125,32
2020-07-09,254.39990234375,48
2020-07-10,191.099609375,86
2020-07-13,198.19970703125,7
2020-07-14,145.60009765625,36
2020-07-15,166.7998046875,23
2020-07-16,139.099609375,5
2020-07-17,67.19970703125,32
2020-07-20,204.2001953125,52
2020-07-21,214.10009765625,54
2020-07-22,173.0,57
2020-07-23,96.7001953125,27
2020-07-24,102.39990234375,34
2020-07-27,123.5,28
2020-07-28,135.30029296875,40
2020-07-29,162.0,23
2020-07-30,77.60009765625,45
2020-07-31,287.5,74
2020-08-03,0.0,77
2020-08-04,190.099609375,29
2020-08-05,94.2001953125,16
2020-08-06,131.2998046875,98
2020-08-07,101.0,100
2020-08-10,132.19970703125,60
2020-08-11,96.7998046875,80
2020-08-12,0.0,59
2020-08-13,153.2001953125,60
2020-08-14,115.39990234375,64
2020-08-17,98.5,51
2020-08-18,102.19970703125,65
2020-08-19,155.89990234375,50
2020-08-20,293.2001953125,43
2020-08-21,137.7001953125,48
2020-08-24,104.89990234375,58
2020-08-25,142.39990234375,1
2020-08-26,97.89990234375,32
2020-08-27,146.400390625,31
2020-08-28,100.39990234375,32
2020-08-31,200.2001953125,67
2020-09-01,222.10009765625,96
2020-09-02,111.39990234375,46
2020-09-03,75.5,47
2020-09-04,215.0,63
2020-09-07,135.10009765625,45
2020-09-08,124.89990234375,99
2020-09-09,329.099609375,30
2020-09-10,146.60009765625,37
2020-09-11,135.2001953125,57
2020-09-14,140.0,39
2020-09-15,146.2001953125,50
2020-09-16,72.39990234375,91
