date,xejVolatility,cloudCover,viterbi_state_index,viterbi_state_label,posterior_low,posterior_normal,posterior_high,state_entropy
2022-05-18,133.7998046875,33,0,Normal Volatility,0.38510304765022885,0.5994456504446838,0.01545130190506002,0.7386815763063459
2022-05-19,210.2998046875,36,0,Normal Volatility,0.0770873369909917,0.9170205098756287,0.0058921531337270796,0.3072490884628504
2022-05-20,223.7998046875,50,0,Normal Volatility,0.052728514429544134,0.9445115968673514,0.0027598887031537425,0.22534132179513944
2022-05-23,153.2998046875,30,1,Low Volatility,0.6171904866895489,0.38151118746393514,0.0012983258464189789,0.6741017851738969
2022-05-24,76.7001953125,92,1,Low Volatility,0.7979888333804018,0.1982252677678345,0.0037858988521993404,0.5219847532202994
2022-05-25,83.2001953125,90,1,Low Volatility,0.7657534332736926,0.22900298066785438,0.00524358605885111,0.569463591323562
2022-05-26,177.2001953125,49,0,Normal Volatility,0.3881153628502894,0.6067285096627995,0.0051561274869685435,0.6976594485842417
2022-05-27,259.5,66,0,Normal Volatility,0.005330664902603544,0.9838749162478073,0.010794418849970728,0.09278152491684792
2022-05-30,176.599609375,76,0,Normal Volatility,0.37238863023263724,0.6151913791328835,0.012419990634398078,0.7212298294733868
2022-05-31,100.900390625,50,1,Low Volatility,0.7184237868461694,0.25962779233007705,0.021948420824172418,0.6715116587472518
2022-06-01,140.900390625,92,1,Low Volatility,0.5701649176942877,0.37460083597095245,0.05523424633514391,0.8481218387308719
2022-06-02,319.0,100,0,Normal Volatility,1.247554410977996e-05,0.8089222073340051,0.19106531712219613,0.48791470422532174
2022-06-03,100.400390625,76,0,Normal Volatility,0.27187785011056725,0.4747771759781846,0.2533449739112593,1.0556039372772048
2022-06-06,259.5,68,0,Normal Volatility,0.0017644133304841728,0.6361726552396,0.36206293143004653,0.6667510129150334
2022-06-07,151.2998046875,67,0,Normal Volatility,0.0819949454867528,0.38350398245386474,0.5345010720597391,0.9074525929052287
2022-06-08,439.2001953125,65,2,High Volatility,4.3251453792522445e-16,0.02757498844737878,0.9724250115529135,0.1262087955094966
2022-06-09,166.7001953125,92,2,High Volatility,0.0027421269243089776,0.04294503046409158,0.9543128426116608,0.1959869391130788
2022-06-10,325.400390625,60,2,High Volatility,5.549878660291994e-09,0.019697854115169736,0.9803021403349111,0.09686098627504691
